Date,Spot,Index
08-Jan-10,3096.59,Auto
08-Jan-10,9160.7,Bank
08-Jan-10,9641.14,Energy
08-Jan-10,3676,Finance
08-Jan-10,7382.43,FMCG
08-Jan-10,16.5062,GoldBees
08-Jan-10,3671.26,Infra
08-Jan-10,5607.9,IT
08-Jan-10,10660.45,Nifty Next 50
08-Jan-10,1637.38,Media
08-Jan-10,4893.45,Metal
08-Jan-10,7611.9,Mid Cap
08-Jan-10,2744.15,Mid Cap 50
08-Jan-10,5244.75,Nifty
08-Jan-10,5175.75,Nifty 100
08-Jan-10,2801.08,Nifty 200
08-Jan-10,4405.3,Nifty 500
08-Jan-10,7176.48,Nifty EQW
08-Jan-10,6511.19,Nifty TRI
08-Jan-10,3839.09,Pharma
08-Jan-10,538.05,Realty
08-Jan-10,3622.9,Small Cap
08-Jan-10,22.41,VIX
15-Jan-10,3127.67,Auto
15-Jan-10,8911.1,Bank
15-Jan-10,9663.2,Energy
15-Jan-10,3617.41,Finance
15-Jan-10,7263.08,FMCG
15-Jan-10,16.6305,GoldBees
15-Jan-10,3663.08,Infra
15-Jan-10,6118.4,IT
15-Jan-10,10760,Nifty Next 50
15-Jan-10,1703.65,Media
15-Jan-10,4841.04,Metal
15-Jan-10,7796.4,Mid Cap
15-Jan-10,2794.75,Mid Cap 50
15-Jan-10,5252.2,Nifty
15-Jan-10,5189.6,Nifty 100
15-Jan-10,2834.57,Nifty 200
15-Jan-10,4468.15,Nifty 500
15-Jan-10,7205.82,Nifty EQW
15-Jan-10,6520.55,Nifty TRI
15-Jan-10,3832.16,Pharma
15-Jan-10,537.85,Realty
15-Jan-10,3718.2,Small Cap
15-Jan-10,21.06,VIX
22-Jan-10,3121.53,Auto
22-Jan-10,8772.65,Bank
22-Jan-10,9093.82,Energy
22-Jan-10,3521.68,Finance
22-Jan-10,7170.1,FMCG
22-Jan-10,16.2314,GoldBees
22-Jan-10,3489.15,Infra
22-Jan-10,5874.6,IT
22-Jan-10,10350.75,Nifty Next 50
22-Jan-10,1684.44,Media
22-Jan-10,4602.18,Metal
22-Jan-10,7474.95,Mid Cap
22-Jan-10,2644.75,Mid Cap 50
22-Jan-10,5036,Nifty
22-Jan-10,4978.6,Nifty 100
22-Jan-10,2731.67,Nifty 200
22-Jan-10,4310.75,Nifty 500
22-Jan-10,6885.43,Nifty EQW
22-Jan-10,6252.42,Nifty TRI
22-Jan-10,3590.33,Pharma
22-Jan-10,493.8,Realty
22-Jan-10,3624.24,Small Cap
22-Jan-10,25.4,VIX
29-Jan-10,2932.87,Auto
29-Jan-10,8651.55,Bank
29-Jan-10,8923.96,Energy
29-Jan-10,3439.17,Finance
29-Jan-10,7012.42,FMCG
29-Jan-10,16.0739,GoldBees
29-Jan-10,3374.74,Infra
29-Jan-10,5594.15,IT
29-Jan-10,9985.7,Nifty Next 50
29-Jan-10,1645.6,Media
29-Jan-10,4281.7,Metal
29-Jan-10,7201.85,Mid Cap
29-Jan-10,2539.2,Mid Cap 50
29-Jan-10,4882.05,Nifty
29-Jan-10,4822.65,Nifty 100
29-Jan-10,2635.41,Nifty 200
29-Jan-10,4156.05,Nifty 500
29-Jan-10,6631.44,Nifty EQW
29-Jan-10,6061.68,Nifty TRI
29-Jan-10,3549.04,Pharma
29-Jan-10,460.07,Realty
29-Jan-10,3493.38,Small Cap
29-Jan-10,26.65,VIX
06-Feb-10,2894.28,Auto
06-Feb-10,8275.2,Bank
06-Feb-10,8734.16,Energy
06-Feb-10,3326.16,Finance
